date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:04:52	2926/2926	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/clients/8.png	demo.zytheme.com/cryptech/assets/images/clients/8.png	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:53	2774/2774	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/clients/9.png	demo.zytheme.com/cryptech/assets/images/clients/9.png	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:54	3118/3118	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/clients/10.png	demo.zytheme.com/cryptech/assets/images/clients/10.png	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:55	3693/3693	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/clients/11.png	demo.zytheme.com/cryptech/assets/images/clients/11.png	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:56	3833/3833	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/clients/12.png	demo.zytheme.com/cryptech/assets/images/clients/12.png	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:57	4069/4069	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/testimonial/2.png	demo.zytheme.com/cryptech/assets/images/testimonial/2.png	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:58	4379/4379	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/testimonial/1.png	demo.zytheme.com/cryptech/assets/images/testimonial/1.png	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:04:59	6312/6312	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/testimonial/3.png	demo.zytheme.com/cryptech/assets/images/testimonial/3.png	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:05:00	766/766	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/footer/app-store.png	demo.zytheme.com/cryptech/assets/images/footer/app-store.png	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:05:01	1763/1763	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/footer/google-play.png	demo.zytheme.com/cryptech/assets/images/footer/google-play.png	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:05:02	439/439	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/footer/visa.png	demo.zytheme.com/cryptech/assets/images/footer/visa.png	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:05:03	544/544	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/footer/mastercard.png	demo.zytheme.com/cryptech/assets/images/footer/mastercard.png	(from https://demo.zytheme.com/cryptech/home-ico.html)
